Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,0,1,1,0,0,0,"June 04, 2022",Unknown Channel,77,77,1,0,6,0
0,0,1,1,0,0,0,"June 04, 2022",Direct,32,32,0.41,19,6,0
0,0,1,1,0,0,0,"June 04, 2022",Display OA,2,2,1,0,3,0
0,0,1,1,0,0,0,"June 04, 2022",Paid Search,1,1,0,1,2,0
0,0,1,1,0,0,0,,,,,,,,
1,1,0,0,0,0,0,"June 04, 2022",Unknown Channel,982,937,0.21,771,95,0.306666667
1,1,0,0,0,0,0,"June 04, 2022",Referring Domains,395,330,0.68,125,337,0.186311787
1,1,0,0,0,0,0,"June 04, 2022",Display OA,387,345,0.57,165,145,0.214477212
1,1,0,0,0,0,0,"June 04, 2022",Social Networks,102,97,0.35,66,142,0.292929293
1,1,0,0,0,0,0,"June 04, 2022",Natural Search,97,84,0.54,45,299,0.227272727
1,1,0,0,0,0,0,"June 04, 2022",Direct,29,25,0.41,17,61,0.344827586
1,1,0,0,0,0,0,"June 04, 2022",Paid Search,10,10,0.3,7,82,0.222222222
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,1,44716.99999,Referring Domains,7,7,1,0,159,0
1,1,0,0,0,0,1,44716.99999,Unknown Channel,0,0,0,0,0,0
1,1,0,0,0,0,1,44716.99999,Natural Search,0,0,0,0,0,0
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,1,0,"June 04, 2022",Referring Domains,211,187,0.79,44,408,0.017241379
1,1,0,0,0,1,0,"June 04, 2022",Unknown Channel,63,63,1,0,76,0
1,1,0,0,0,1,0,"June 04, 2022",Social Networks,56,55,0.36,36,145,0.017857143
1,1,0,0,0,1,0,"June 04, 2022",Natural Search,31,30,0.81,6,505,0
1,1,0,0,0,1,0,"June 04, 2022",Display OA,15,15,1,0,181,0
1,1,0,0,0,1,0,"June 04, 2022",Direct,5,4,0.4,3,83,0
1,1,0,0,0,1,0,"June 04, 2022",Paid Search,1,1,1,0,69,0
1,1,0,0,0,1,0,,,,,,,,
1,1,0,0,1,0,0,"June 04, 2022",Unknown Channel,846,816,0.2,678,96,0.286046512
1,1,0,0,1,0,0,"June 04, 2022",Display OA,177,168,0.24,135,135,0.287356322
1,1,0,0,1,0,0,"June 04, 2022",Referring Domains,159,143,0.72,45,111,0.258333333
1,1,0,0,1,0,0,"June 04, 2022",Natural Search,63,58,0.59,26,120,0.171875
1,1,0,0,1,0,0,"June 04, 2022",Direct,11,9,0.45,6,48,0.461538462
1,1,0,0,1,0,0,"June 04, 2022",Social Networks,11,11,0.73,3,132,0.25
1,1,0,0,1,0,0,"June 04, 2022",Paid Search,8,8,0.12,7,90,0.25
1,1,0,0,1,0,0,,,,,,,,
1,1,0,1,0,0,0,"June 04, 2022",Referring Domains,258,225,0.73,70,16,0.049689441
1,1,0,1,0,0,0,"June 04, 2022",Social Networks,61,60,0.33,41,18,0.080645161
1,1,0,1,0,0,0,"June 04, 2022",Natural Search,29,24,0.66,10,35,0.054054054
1,1,0,1,0,0,0,"June 04, 2022",Direct,11,9,0.09,10,24,0.214285714
1,1,0,1,0,0,0,"June 04, 2022",Unknown Channel,7,7,1,0,6,0
1,1,0,1,0,0,0,"June 04, 2022",Display OA,6,6,1,0,4,0
1,1,0,1,0,0,0,"June 04, 2022",Paid Search,0,0,0,0,0,0
1,1,0,1,0,0,0,,,,,,,,
1,0,1,0,0,0,0,"June 04, 2022",Unknown Channel,1148,1085,0.22,896,101,0.333917616
1,0,1,0,0,0,0,"June 04, 2022",Referring Domains,638,539,0.73,172,444,0.151241535
1,0,1,0,0,0,0,"June 04, 2022",Display OA,424,380,0.55,189,143,0.205378973
1,0,1,0,0,0,0,"June 04, 2022",Natural Search,149,129,0.62,57,343,0.189781022
1,0,1,0,0,0,0,"June 04, 2022",Social Networks,108,103,0.36,69,138,0.288461538
1,0,1,0,0,0,0,"June 04, 2022",Direct,37,33,0.41,22,54,0.351351351
1,0,1,0,0,0,0,"June 04, 2022",Paid Search,11,11,0.27,8,82,0.2
1,0,1,0,0,0,0,,,,,,,,
1,0,1,0,0,0,1,"June 04, 2022",Referring Domains,14,14,1,0,138,0
1,0,1,0,0,0,1,"June 04, 2022",Unknown Channel,0,0,0,0,0,0
1,0,1,0,0,0,1,"June 04, 2022",Natural Search,0,0,0,0,0,0
1,0,1,0,0,0,1,,,,,,,,
1,0,1,0,0,0,1,,,,,,,,
1,0,1,0,0,0,1,,,,,,,,
1,0,1,0,0,0,1,,,,,,,,
1,0,1,0,0,0,1,,,,,,,,
1,0,1,0,0,1,0,"June 04, 2022",Referring Domains,358,322,0.84,57,559,0.00913242
1,0,1,0,0,1,0,"June 04, 2022",Unknown Channel,73,73,1,0,106,0
1,0,1,0,0,1,0,"June 04, 2022",Natural Search,65,62,0.91,6,493,0
1,0,1,0,0,1,0,"June 04, 2022",Social Networks,57,56,0.37,36,143,0.01754386
1,0,1,0,0,1,0,"June 04, 2022",Display OA,21,21,1,0,158,0
1,0,1,0,0,1,0,"June 04, 2022",Direct,7,6,0.43,4,79,0
1,0,1,0,0,1,0,"June 04, 2022",Paid Search,1,1,1,0,69,0
1,0,1,0,0,1,0,,,,,,,,
1,0,1,0,1,0,0,"June 04, 2022",Unknown Channel,965,927,0.2,773,101,0.312056738
1,0,1,0,1,0,0,"June 04, 2022",Referring Domains,272,248,0.78,60,109,0.180952381
1,0,1,0,1,0,0,"June 04, 2022",Display OA,213,202,0.25,159,134,0.258373206
1,0,1,0,1,0,0,"June 04, 2022",Natural Search,94,85,0.64,34,110,0.136842105
1,0,1,0,1,0,0,"June 04, 2022",Social Networks,13,13,0.69,4,119,0.2
1,0,1,0,1,0,0,"June 04, 2022",Direct,12,10,0.42,7,39,0.375
1,0,1,0,1,0,0,"June 04, 2022",Paid Search,8,8,0.12,7,90,0.25
1,0,1,0,1,0,0,,,,,,,,
1,0,1,1,0,0,0,"June 04, 2022",Referring Domains,429,378,0.78,94,13,0.038461538
1,0,1,1,0,0,0,"June 04, 2022",Social Networks,62,61,0.34,41,18,0.078125
1,0,1,1,0,0,0,"June 04, 2022",Natural Search,48,41,0.77,11,23,0.04109589
1,0,1,1,0,0,0,"June 04, 2022",Unknown Channel,12,12,1,0,6,0
1,0,1,1,0,0,0,"June 04, 2022",Direct,12,10,0.08,11,20,0.166666667
1,0,1,1,0,0,0,"June 04, 2022",Display OA,8,8,1,0,3,0
1,0,1,1,0,0,0,"June 04, 2022",Paid Search,0,0,0,0,0,0
,,,,,,,,,,,,,,
