Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,0,1,0,0,1,0,"June 05, 2022",Direct,3703,3703,0.92,304,320,0
0,0,1,0,0,1,0,"June 05, 2022",Unknown Channel,1883,1883,1,0,120,0
0,0,1,0,0,1,0,"June 05, 2022",Paid Search,1764,1764,1,0,265,0
0,0,1,0,0,1,0,"June 05, 2022",Social Networks,1628,1628,0.55,725,178,0
0,0,1,0,0,1,0,"June 05, 2022",Display OA,1454,1454,1,0,274,0
0,0,1,0,0,1,0,"June 05, 2022",Social Paid,402,402,1,0,211,0
0,0,1,0,1,0,0,"June 05, 2022",Referring Domains,43034,43034,0.93,2826,126,0.033819414
0,0,1,0,1,0,0,"June 05, 2022",Natural Search,33491,33491,0.55,15200,94,0.122542419
0,0,1,0,1,0,0,"June 05, 2022",Display OA,31643,31643,0.17,26123,120,0.553886785
0,0,1,0,1,0,0,"June 05, 2022",Unknown Channel,29914,29914,0.15,25500,86,0.270603761
0,0,1,0,1,0,0,"June 05, 2022",Paid Search,9691,9691,0.48,4992,131,0.209930129
0,0,1,0,1,0,0,"June 05, 2022",Social Paid,3736,3736,0.3,2625,99,0.247693977
0,0,1,0,1,0,0,"June 05, 2022",Social Networks,3352,3352,0.3,2362,92,0.316736184
0,0,1,0,1,0,0,"June 05, 2022",Direct,2728,2728,0.53,1280,120,0.067288267
0,0,1,1,0,0,0,"June 05, 2022",Referring Domains,56220,56220,0.87,7085,12,0.002238172
0,0,1,1,0,0,0,"June 05, 2022",Natural Search,13882,13882,0.95,626,11,0.001496747
0,0,1,1,0,0,0,"June 05, 2022",Paid Search,2464,2464,0.83,417,8,0.005071851
0,0,1,1,0,0,0,"June 05, 2022",Social Networks,1974,1974,0.6,798,5,0.006266786
