Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Carline,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,1,0,0,"June 05, 2022",California 6.1,460,460,0.77,107,46,0.116564417
0,1,0,0,1,0,0,"June 05, 2022",California,284,284,0.91,25,72,0.027027027
0,1,0,0,1,0,0,"June 05, 2022",Caddy California,189,189,0.96,7,120,0.045454545
0,1,0,0,1,0,0,"June 05, 2022",Multivan,143,143,0.88,17,79,0.233333333
0,1,0,0,1,0,0,"June 05, 2022",Caddy,123,123,0.78,27,47,0.092592593
0,1,0,0,1,0,0,"June 05, 2022",Caravelle 6.1,86,86,0.85,13,22,0.090909091
0,1,0,0,1,0,0,"June 05, 2022",Transporter 6.1 Furgon,85,85,0.75,21,41,0.025
0,1,0,0,1,0,0,"June 05, 2022",Crafter Furgon,61,61,0.77,14,31,0.083333333
0,1,0,0,1,0,0,"June 05, 2022",Multivan 6.1,57,57,0.72,16,33,0.068965517
0,1,0,0,1,0,0,"June 05, 2022",Crafter,32,32,0.56,14,25,0
0,1,0,0,1,0,0,"June 05, 2022",Caddy Cargo,32,32,0.97,1,21,0.5
0,1,0,0,1,0,0,"June 05, 2022",Multivan 6.1 Edition,28,28,0.96,1,20,0
0,1,0,0,1,0,0,"June 05, 2022",Transporter 6.1 Kombi,17,17,0.94,1,22,0
0,1,0,0,1,0,0,"June 05, 2022",Transporter Delivery Van,12,12,0.83,2,31,0
0,1,0,0,1,0,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,11,11,0.91,1,17,1
0,1,0,0,1,0,0,"June 05, 2022",Caravelle,9,9,0.89,1,14,0.5
0,1,0,0,1,0,0,"June 05, 2022",Crafter Podwozie,8,8,1,0,33,0
0,1,0,0,1,0,0,"June 05, 2022",Amarok,7,7,0.57,3,19,1
0,1,0,0,1,0,0,"June 05, 2022",Crafter Delivery Van,6,6,0.67,2,8,0
0,1,0,0,1,0,0,"June 05, 2022",Crafter Skrzyniowy,5,5,1,0,17,0
0,1,0,0,1,0,0,"June 05, 2022",Transporter Kombi,2,2,0.5,1,28,0
0,1,0,0,1,0,0,"June 05, 2022",Crafter Chassis,2,2,1,0,10,0
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,0,1,0,0,,,,,,,,
0,1,0,1,0,0,0,"June 05, 2022",::unspecified::,3643,3643,0.72,1026,6,0.004553216
0,1,0,1,0,0,0,"June 05, 2022",Multivan 6.1,1,1,1,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",California 6.1,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Caddy,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Transporter 6.1 Furgon,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Caddy California,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Multivan,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Crafter Furgon,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",California,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Caravelle 6.1,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Crafter,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Transporter Delivery Van,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Caravelle,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Crafter Podwozie,0,0,0,0,0,0
0,1,0,1,0,0,0,"June 05, 2022",Crafter Delivery Van,0,0,0,0,0,0
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,1,0,1,0,0,0,,,,,,,,
0,0,1,0,0,0,0,"June 05, 2022",::unspecified::,28826,28826,0.25,21730,127,0.295303681
0,0,1,0,0,0,0,"June 05, 2022",California 6.1,785,785,0.8,157,146,0.090196078
0,0,1,0,0,0,0,"June 05, 2022",California,512,512,0.94,32,173,0.018867925
0,0,1,0,0,0,0,"June 05, 2022",Multivan,399,399,0.91,34,356,0.245283019
0,0,1,0,0,0,0,"June 05, 2022",Caddy California,322,322,0.96,12,224,0.066666667
0,0,1,0,0,0,0,"June 05, 2022",Caddy,298,298,0.82,55,285,0.125
0,0,1,0,0,0,0,"June 05, 2022",Multivan 6.1,241,241,0.85,36,160,0.053571429
0,0,1,0,0,0,0,"June 05, 2022",Caravelle 6.1,212,212,0.89,23,260,0.058823529
0,0,1,0,0,0,0,"June 05, 2022",Transporter 6.1 Furgon,187,187,0.81,36,275,0.03125
0,0,1,0,0,0,0,"June 05, 2022",Crafter Furgon,150,150,0.87,20,258,0.105263158
0,0,1,0,0,0,0,"June 05, 2022",Caddy Cargo,89,89,0.97,3,416,0.25
0,0,1,0,0,0,0,"June 05, 2022",Transporter 6.1 Kombi,61,61,0.93,4,237,0.2
0,0,1,0,0,0,0,"June 05, 2022",Crafter,59,59,0.59,24,17,0.032258065
0,0,1,0,0,0,0,"June 05, 2022",Multivan 6.1 Edition,58,58,0.98,1,39,0
0,0,1,0,0,0,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,27,27,0.96,1,325,0.5
0,0,1,0,0,0,0,"June 05, 2022",Transporter Delivery Van,21,21,0.86,3,24,0
0,0,1,0,0,0,0,"June 05, 2022",Caravelle,17,17,0.88,2,15,0.25
0,0,1,0,0,0,0,"June 05, 2022",Crafter Skrzyniowy,17,17,0.82,3,77,0.5
0,0,1,0,0,0,0,"June 05, 2022",Crafter Delivery Van,16,16,0.81,3,10,0
0,0,1,0,0,0,0,"June 05, 2022",Crafter Podwozie,14,14,1,0,676,0
0,0,1,0,0,0,0,"June 05, 2022",Amarok,10,10,0.7,3,29,1
0,0,1,0,0,0,0,"June 05, 2022",Transporter Kombi,7,7,0.71,2,14,0
0,0,1,0,0,0,0,"June 05, 2022",Transporter Dropside Van,2,2,1,0,16,0
0,0,1,0,0,0,0,"June 05, 2022",Crafter Chassis,2,2,1,0,10,0
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,1,"June 05, 2022",::unspecified::,157,157,1,0,93,0
0,0,1,0,0,0,1,"June 05, 2022",Multivan,8,8,1,0,201,0
0,0,1,0,0,0,1,"June 05, 2022",Caddy California,3,3,1,0,28,0
0,0,1,0,0,0,1,"June 05, 2022",California 6.1,3,3,1,0,5,0
0,0,1,0,0,0,1,"June 05, 2022",Multivan 6.1,2,2,1,0,24,0
0,0,1,0,0,0,1,"June 05, 2022",Caravelle 6.1,2,2,1,0,23,0
0,0,1,0,0,0,1,"June 05, 2022",Crafter Podwozie,2,2,1,0,20,0
0,0,1,0,0,0,1,"June 05, 2022",Crafter Furgon,1,1,1,0,1017,0
0,0,1,0,0,0,1,"June 05, 2022",Transporter 6.1 Skrzyniowy,1,1,1,0,107,0
0,0,1,0,0,0,1,"June 05, 2022",Caddy,1,1,1,0,31,0
0,0,1,0,0,0,1,"June 05, 2022",Caddy Cargo,1,1,1,0,2,0
0,0,1,0,0,0,1,"June 05, 2022",Transporter 6.1 Kombi,1,1,1,0,0,0
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,1,0,"June 05, 2022",::unspecified::,4072,4072,0.76,982,274,0
0,0,1,0,0,1,0,"June 05, 2022",Multivan,262,262,0.98,4,467,0
0,0,1,0,0,1,0,"June 05, 2022",California 6.1,242,242,0.98,4,347,0
0,0,1,0,0,1,0,"June 05, 2022",Caddy,170,170,1,0,438,0
0,0,1,0,0,1,0,"June 05, 2022",California,166,166,0.99,1,375,0
0,0,1,0,0,1,0,"June 05, 2022",Caddy California,129,129,0.99,1,357,0
0,0,1,0,0,1,0,"June 05, 2022",Multivan 6.1,124,124,0.99,1,239,0
0,0,1,0,0,1,0,"June 05, 2022",Caravelle 6.1,120,120,0.98,2,429,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter 6.1 Furgon,108,108,0.97,3,438,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter Furgon,86,86,0.99,1,406,0
0,0,1,0,0,1,0,"June 05, 2022",Caddy Cargo,58,58,0.98,1,604,0
0,0,1,0,0,1,0,"June 05, 2022",Multivan 6.1 Edition,34,34,1,0,25,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter 6.1 Kombi,33,33,1,0,372,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,20,20,1,0,419,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter,17,17,1,0,29,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter Podwozie,13,13,1,0,722,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter Skrzyniowy,13,13,0.92,1,91,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter Delivery Van,10,10,1,0,11,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter Delivery Van,10,10,1,0,17,0
0,0,1,0,0,1,0,"June 05, 2022",Caravelle,7,7,1,0,12,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter Kombi,3,3,1,0,7,0
0,0,1,0,0,1,0,"June 05, 2022",Crafter Chassis,2,2,1,0,10,0
0,0,1,0,0,1,0,"June 05, 2022",Amarok,1,1,1,0,13,0
0,0,1,0,0,1,0,"June 05, 2022",Transporter Dropside Van,1,1,1,0,6,0
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,1,0,0,"June 05, 2022",::unspecified::,21226,21226,0.23,16410,87,0.272264387
0,0,1,0,1,0,0,"June 05, 2022",California 6.1,728,728,0.79,151,46,0.090196078
0,0,1,0,1,0,0,"June 05, 2022",California,470,470,0.93,31,75,0.018867925
0,0,1,0,1,0,0,"June 05, 2022",Multivan,330,330,0.92,27,72,0.224489796
0,0,1,0,1,0,0,"June 05, 2022",Caddy California,293,293,0.96,11,118,0.066666667
0,0,1,0,1,0,0,"June 05, 2022",Caddy,261,261,0.79,54,42,0.125
0,0,1,0,1,0,0,"June 05, 2022",Caravelle 6.1,161,161,0.88,20,29,0.058823529
0,0,1,0,1,0,0,"June 05, 2022",Transporter 6.1 Furgon,152,152,0.79,32,34,0.03125
0,0,1,0,1,0,0,"June 05, 2022",Multivan 6.1,142,142,0.8,29,21,0.053571429
